ElfFairy Type,Cause of Malice,Motif Type,Ritual Object Type,Case Notes,Folk Notes
Green,Debt,Pilgrimage,Knife,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Nine,Ribbon,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Nine,Turf,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Nine,Water,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Grudge,Nine,Knife,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Nine,Ribbon,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Nine,Turf,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Nine,Water,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Green,Debt,Nine,Knife,NA,Accused of going to the burn of Bogloch on the first Monday of the quarter and taking some of the water and casting it over her shoulder. Also accused of collecting the dew off the grass with a blanket at the same time. This was testified by the minister as being a ceremony associated with witchcraft. Accused of cutting her heidleas (ribbon) into 9 pieces and burying them under the barn door of a neighbour. Accused of passing a knife 3 times over a cow while it was being bulled ?to ensure fertility. Laid a new calf on a piece of turf to met/measure it.
Male fairy (elf),Physical insult,Three,Coin,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Paper,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Thread,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Cloth,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Water,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Bone,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Wax,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Coal,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Physical insult,Three,Bridle/collar,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Coin,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Paper,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Thread,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Cloth,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Water,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Bone,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Coal,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Failed business interaction,Three,Bridle/collar,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Coin,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Paper,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Thread,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Cloth,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Water,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Bone,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
Male fairy (elf),Revenge,Three,Wax,NA,"Claimed her mother learned her skill from an elf man who had lain with her. Used paper and threads to stop a woman's husband from beating her. Used coin and red wax wrapped in cloth, to ensure marriages. The talisman was to be worn about the neck and when the desired partner was seen it was to be used to strike the face. Turned a new born baby three times, baby then died. Cured oxen by tying them with a collar/bridle. When they were released the person who released them took ill and died. Accused of bewitching doors/thresholds. Later either the next person to touch the door or animal to cross over, took ill and died. Took dead people's bones and rinsed them in water. The water was then used to cure a sick person and the bones to be thrown into the River Don. The river 'rumlit as all the hills hed fallin thairin'. Took burning coal at Hallowe'en and buried it in her yard."
