filename,title,year,certainty
104184173.txt,Historical ballad of May Culzean - L.C.2790(4),1817,
104184174.txt,Two orphans - L.C.2790(5),1818,
104184175.txt,Complete budget of wit - L.C.2790(6),1817,
104184176.txt,"History of Duncan Campbell, and his dog Oscar - L.C.2790(7)",1817,
104184177.txt,Elegant extracts - L.C.2790(8),1817,
104184178.txt,Saturday night - L.C.2791((8),1817,
104184179.txt,Four funny tales - L.C.2791(1),1802,
104184180.txt,"Wedding ring fit for the finger, or, The salve of divinity on the sore of humanity - L.C.2791(10)",1817,
104184181.txt,Proposals for original publications - L.C.2791(11A),1817,
104184182.txt,Jones' address to a sovereign - L.C.2791(11B),1817,
104184183.txt,Anecdotes of singular and remarkable conversions - L.C.2791(12),1817,
104184184.txt,"Account of the dispute between Russia, Sweden & Denmark, and Great Britain - L.C.2791(2)",1801,
104184185.txt,"Twenty remarkable passages in the life and prophecies of Mr. Alex. Peden, late minister of the gospel at New Glenluce, in Galloway - L.C.2791(3)",1817,
104184186.txt,"Aloway Kirk, or, Tam o' Shanter, a tale - L.C.2791(4)",1817,
104184187.txt,"Scotland's skaith, or, The history o' Will and Jean - L.C.2791(5)",1817,
104184188.txt,"Conversations, between James Block, Esq. and Millar, the editor of the Monthly Miscellany - L.C.2791(6)",1817,
104184189.txt,"History of the devil, ancient and modern - L.C.2791(7)",1817,
104184190.txt,"History of Duncan Campbell, and his dog Oscar - L.C.2791(9)",1817,
104184191.txt,"Celebrated ballad of the lass of Fair Wone, or, The parson's daughter betrayed - L.C.2792(1)",1832,
104184192.txt,Humorist - L.C.2792(2),1833,
104184193.txt,Songs - L.C.2792(3),1834,
104184194.txt,"Grigor's ghost, or, The constant lovers - L.C.2792(4)",1835,
104184195.txt,"Old maid and widow, or, The widow the best wife - L.C.2792(5)",1835,
104184196.txt,"Thrummy cap, a tale - L.C.2792(6)",1839,
104184197.txt,Songs - L.C.2792(7),1844,
104184198.txt,"Scots proverbs, ancient and modern - L.C.2792(8)",1834,
104184199.txt,"Prophecies of Thomas the Rhymer, the ancient Scotch prophet - L.C.2793(1)",1855,
104184200.txt,Jeanie Deans and the lily of St. Leonard's - L.C.2793(2),1855,
104184201.txt,"Important passages in the life of Mansie Wauch, tailor in Dalkeith - L.C.2793(3)",1855,
104184202.txt,Duke of Gordon's daughters - L.C.2794(1),1798,
104184203.txt,Mother Hubbard's fortune teller - L.C.2794(10),1830,
104184204.txt,Life and wonderful prophecies of Donald Cargill - L.C.2794(11),1830,
104184205.txt,Witty and entertaining exploits of George Buchanan - L.C.2794(12),1830,
104184206.txt,Short account of the origin and progress of the cholera morbus - L.C.2794(13),1833,
104184207.txt,Four excellent new songs - L.C.2794(2),1797,
104184208.txt,"Bride's burial, or, The affectionate lovers - L.C.2794(3)",1812,
104184209.txt,Select songs - L.C.2794(4),1793,
104184210.txt,Select songs - L.C.2794(5),1793,
104184211.txt,"Right and equality, constitution, organization, and kings, explained, or, One pennyworth of truth - L.C.2794(7)",1793,
104184212.txt,Life of James Renwick - L.C.2794(8),1830,
104184213.txt,Life and prophecies of Alexander Peden - L.C.2794(9),1830,
104184214.txt,Copy of a letter written by David M'Roberts to his wife two days before his execution - L.C.2794.(6),1798,
104184215.txt,New riddle book - L.C.2795(1),1795,
104184216.txt,Deserter - L.C.2795(2),1795,
104184217.txt,"Little book of knowledge, or, The country man's choice companion - L.C.2795(3)",1799,
104184218.txt,Burning mountains - L.C.2795(4),1795,
104184219.txt,"Account of a dreadful hurricane which happened in the island of Jamaica, in the month of October, 1780 - L.C.2795(5)",1799,
104184220.txt,Melancholy consequences of two sea storms - L.C.2795(6),1795,
104184221.txt,"Account of some imaginary apparitions, the effects of fear or fraud - L.C.2795(7)",1795,
104184222.txt,Comical sayings of Pady from Cork - L.C.2795(8),1795,
104184223.txt,"Copy of a remarkable prophecy, relative to the present times - L.C.2795(9)",1793,
104184224.txt,"Magdalen, or, The history of a reform'd prostitute - L.C.2796(1)",1795,
104184225.txt,True humanity usefully exerted - L.C.2796(10),1795,
104184226.txt,"Death bed, or, Patience & resignation (to the will of God) displayed - L.C.2796(11)",1795,
104184227.txt,Drunkard's consolation on the ale being raised - L.C.2837(16),1802,
104184228.txt,Turkish lady - L.C.2837(17),1802,
104184229.txt,"Fortunate weaver's uprise, or, The landlady well pleased - L.C.2837(18)",1802,
104184230.txt,"Lincolnshire knight, or, The poor rich man - L.C.2837(19)",1802,
104184231.txt,Tippling farmer - L.C.2837(2),1802,
104184232.txt,Country cousin - L.C.2837(20),1802,
104184233.txt,Constant swain - L.C.2837(21),1802,
104184234.txt,Goodman's grief for the ewie wi the crooked horn - L.C.2837(22),1802,
104184235.txt,Dutchess of Newcastle's lament - L.C.2837(23),1802,
104184236.txt,"Excellent old song intitled, Maggy Lauther - L.C.2837(24)",1802,
104184237.txt,"Tar's conquest, or, The young sailor's ramble - L.C.2837(25)",1801,
104184238.txt,Ladies breastknot - L.C.2837(26),1802,
104184239.txt,"Blaeberries, or, The highland laird's courtship to a farmer's daughter - L.C.2837(27)",1803,
104184240.txt,"Bonny Annie's elopement, with the pursuit and disappointment - L.C.2837(28)",1803,
104184241.txt,"Jolly sailor, or, The lady of Greenwich - L.C.2837(29)",1803,
104184242.txt,True hearted maiden - L.C.2837(3),1802,
104184243.txt,"Farmer's son or, The unfortunate lovers - L.C.2837(30)",1803,
104184244.txt,Wat'ry god - L.C.2837(31),1803,
104184245.txt,Rambling boy with the answer - L.C.2837(32),1803,
104184246.txt,Belfast maid's lamentation for the loss of her sweetheart - L.C.2837(33),1803,
104184247.txt,"Old hulk laid up or, The new way of Tom Tough - L.C.2837(34)",1803,
104184249.txt,"Buxom dame of Reading, or, The cuckold's cap - L.C.2837(5)",1802,
104184250.txt,Laird of Logie - L.C.2837(6),1802,
104184251.txt,"Peace & plenty, or, Britons rejoice - L.C.2837(7)",1802,
104184252.txt,"Poor man's labour never done, or, The mother's advice - L.C.2837(8)",1802,
104184253.txt,"Goodman of Auchtermouchtie, or, The goodwife turn'd goodman - L.C.2837(9)",1802,
104184254.txt,"Two babes in the wood, or, The Norfolk gentleman's last will and testament - L.C.2838(1)",1802,
104184255.txt,Wanton virgins frightened - L.C.2838(10),1802,
104184256.txt,"Oxfordshire tragedy, or, The virgin's advice - L.C.2838(11)",1802,
104184257.txt,"Tales of instruction, in verse and prose - L.C.2796(12)",1795,
104184258.txt,Affecting history of an inn-keeper in Normandy - L.C.2796(13),1795,
104184259.txt,"Honest debtor, or, The virtuous man struggling with, rising superior to, and overcoming misfortune - L.C.2796(14)",1795,
104184260.txt,"Short stories for little folks, or, Little tales calculated to excite juvenile minds to the love and practice of virtue - L.C.2796(15)",1795,
104184261.txt,Power of affection - L.C.2796(16),1795,
104184262.txt,"Little fabulist, or, Select fables - L.C.2796(17)",1795,
104184263.txt,Instructor - L.C.2796(18),1795,
104184264.txt,"Antidote to superstition, or, A cure for those weak minds which are troubled with the fear of, ghosts and witches - L.C.2796(19)",1795,
104184265.txt,"Maria, or, The wanderer reclaim'd - L.C.2796(2)",1795,
104184266.txt,"Evening walk, with suitable reflections - L.C.2796(20)",1795,
104184267.txt,Slave trade - L.C.2796(3),1795,
104184268.txt,Generous libertine - L.C.2796(4),1795,
104184269.txt,Counsels to young men - L.C.2796(5),1795,
104184270.txt,Serious thoughts for the living - L.C.2796(6),1795,
104184271.txt,Reflections among the monuments - L.C.2796(7),1795,
104184272.txt,Moral tales - L.C.2796(8),1795,
104184273.txt,"Drunken husband, or, The fatal effects of drunkenness - L.C.2796(9)",1795,
104184274.txt,Collection of notable things worth knowing - L.C.2797(1),1828,
104184275.txt,Awful phenomena of nature - L.C.2797(10),1828,
104184276.txt,"Execution, or, The affecting history of Tom Bragwell - L.C.2797(11)",1828,
104184277.txt,"Way to wealth, or, Poor Richard's maxims improved - L.C.2797(12)",1828,
104184278.txt,Deplorable effects of heathen superstition - L.C.2797(13),1828,
104184279.txt,Tales for the farmers' ingle-neuk - L.C.2797(14),1828,
104184280.txt,Penny-worth of wit - L.C.2797(2),1828,
104184281.txt,"Wonderful magazine of strange adventures, singular occurrences, and remarkable incidents - L.C.2797(3)",1828,
104184282.txt,Amusing stories of animals - L.C.2797(4),1828,
104184283.txt,Accidents and disasters on land - L.C.2797(5),1828,
104184284.txt,Shipwrecks and disasters at sea - L.C.2797(6),1828,
104184285.txt,Picture of war - L.C.2797(7),1828,
104184286.txt,"Account of the dreadful accident and great loss of lives which occurred at Kirkcaldy, on Sunday the 15th June, 1828 - L.C.2797(8)",1828,
104184287.txt,"Awful phenomena of nature -- snow storms, third of March and twenty-third April, 1827 - L.C.2797(9)",1828,
104184288.txt,Great importance of parental instruction - L.C.2798(1),1826,
104184289.txt,Songster's garland - L.C.2798(10),1833,
104184290.txt,Sermon on malt - L.C.2798(11),1831,
104184291.txt,Picture of war - L.C.2798(2),1826,
104184292.txt,"Loss of the Comet steam-boat on her passage from Inverness to Glasgow, on Friday the 21st October, 1825 - L.C.2798(3)",1826,
104184293.txt,Awful phenomena of nature -- earthquakes - L.C.2798(4),1826,
104184294.txt,Awful phenomena of nature -- burning mountains - L.C.2798(5),1826,
104184295.txt,Book of knowledge - L.C.2798(6),1826,
104184296.txt,"Doctrine of the cross of Christ, stated and improved - L.C.2798(7)",1826,
104184297.txt,True religion a source of happiness - L.C.2798(8),1827,
104184298.txt,Short illustration of the commission given by Jesus Christ to his apostles - L.C.2798(9),1828,
104184299.txt,"Monthly scrap book, for January - L.C.2799(1)",1832,
104184300.txt,"Monthly scrap book, for October - L.C.2799(10)",1832,
104184301.txt,"Monthly scrap book, for November - L.C.2799(11)",1832,
104184302.txt,"Monthly scrap book, for December - L.C.2799(12)",1832,
104184303.txt,"Monthly scrap book, for February - L.C.2799(2)",1832,
104184304.txt,"Monthly scrap book, for March - L.C.2799(3)",1832,
104184305.txt,"Monthly scrap book, for April - L.C.2799(4)",1832,
104184306.txt,"Monthly scrap book, for May - L.C.2799(5)",1832,
104184307.txt,"Monthly scrap book, for June - L.C.2799(6)",1832,
104184308.txt,"Monthly scrap book, for July - L.C.2799(7)",1832,
104184309.txt,"Monthly scrap book, for August - L.C.2799(8)",1832,
104184310.txt,"Monthly scrap book, for September - L.C.2799(9)",1832,
104184311.txt,Perswasive to frequent communion - L.C.2800(1),1688,
104184312.txt,Most strange and wonderful prophecy in the year 1684 - L.C.2800(2),1714,uncertain
104184313.txt,"Unnnatural [sic] son, or, A sad and deplorable relation, of the unfortunate end of Henry Jackson - L.C.2800(3)",1701,
104184315.txt,"Early soliloquies, as also, the daily sacrifice, or The Lords Prayer paraphrased - L.C.2800(7)",1719,
104184316.txt,"King of France, his catechism - L.C.2800.(4)",1703,
104184318.txt,[Ane hundred] godly lessons that a mother on her death-bed gave to her children - L.C.2800.(6),1718,
104184319.txt,"Letter to the Reverend Mr. Michael Potter, minister of the gospel at Kippen, as an answer of his letter to the Reverend Mr. Ebenezer Erskine - L.C.2800.(8)",1738,
104184320.txt,Copy of three letters - L.C.2800.(9),1740,
104184321.txt,Help unto prayer - L.C.2801(1),1704,
104184322.txt,"New comedy, or, A dialogue between the coalman and his son - L.C.2801(3)",1750,
104184323.txt,Alerm [sic] to all bankrupt's in Scotland - L.C.2801(4),1750,uncertain
104184324.txt,Explication of Thomas Rymer's prophecies - L.C.2801(5),1794,
104184325.txt,Last guinea - L.C.2801.(2),1727,
104184326.txt,Dialogue between a blind man and death - L.C.2802(4),1740,
104184327.txt,Faith's plea upon God's covenant - L.C.2802(5),1774,
104184328.txt,"Unpardonable sin against the Holy Ghost, or, The sin unto death - L.C.2802(6)",1774,
104184329.txt,"Choice drop of honey from the rock, Christ, or A word of advice to saints and sinners - L.C.2802(7)",1789,
104184330.txt,"Last publick sermon, being a faithful and free one, preached by Mr. Hugh Mackaile ... upon the Sabbath immediately preceeding that 8th of September 1662, the day affixed for the removing of the ministers of Edinburgh from their kirks - L.C.2802.(1)",1749,
104184332.txt,"Last speech and testimony of John Finlay, who lived in Muirside in the parish of Kilmarnock, and suffered in the Grass-Market of Edinburgh, December 15. 1682 for his faithful adhering to the cause and interest of Christ - L.C.2802.(2)",1750,
104184333.txt,Two godly letters of the pious martyr Mr. James Renwick - L.C.2802.(3),1751,
104184334.txt,"Gospel discovery, or A poem on the life and death of our Lord and Saviour, Jesus Christ - L.C.2802.(8)",1780,
104184335.txt,God's eye from heaven - L.C.2802.A(1),1671,
104184336.txt,"Spiritual exercise of soul, and blessed departure of Dame Mary Rutherford Lady Hundaly, and Mary M'Konnel, cousin to the said lady; which fell out in the year 1640; both died in London - L.C.2802.A.(10)",1745,
104184337.txt,Hidden things brought to light for the increase of knowledge in reading the Bible - L.C.2802.A.(11),1704,
104184338.txt,"Door of salvation open'd, or, A loud and shirl [sic] voice from heaven, to unregenerate sinners on earth - L.C.2802.A.(12)",1747,
104184339.txt,Perswasive to frequent communion - L.C.2802.A.(2),1688,
104184340.txt,Short catechism with some passages of Scripture - L.C.2802.A.(3),1705,
104184341.txt,Antidote against the infectious contagion of popery and tyranny - L.C.2802.A.(4),1745,
104184342.txt,"Token for mourners, or, A sure guide to heaven and preparation for your latter-end - L.C.2802.A.(5)",1741,
104184343.txt,"Riches of Christ, or, The glorious treasure of heavenly joys - L.C.2802.A.(6)",1747,
104184344.txt,"Poem on the creation of the world, or, A meditation on the wonderful operation of the divine hand - L.C.2802.A.(7)",1751,
104184345.txt,Larger catechism - L.C.2802.A.(8),1760,
104184346.txt,Description of the true nature of schism - L.C.2802.A.(9),1745,uncertain
104184347.txt,Ancient and modern history of Buck-haven in Fife-shire - L.C.2803(1),1800,
104184348.txt,Wife of Beith - L.C.2803(10),1800,
104184349.txt,Believer exalted in imputed righteousness - L.C.2803(11),1800,
104184350.txt,"Jerusalem's captivities lamented, or, A plain description of Jerusalem - L.C.2803(12)",1800,
104184351.txt,"Coalman's courtship to a creel wife's daughter, or, A dialogue between an old woman and her son - L.C.2803(13)",1800,
104184352.txt,Witty and entertaining exploits of George Buchanan - L.C.2803(14),1809,
104184353.txt,History and comical transactions of Lothian Tom - L.C.2803(2),1800,
104184354.txt,Ancient and modern history of Buck-haven in Fife-shire - L.C.2803(3),1800,
104184355.txt,"Comical sayings of Pady from Cork, with his coat button'd behind - L.C.2803(4)",1800,
104184356.txt,"Scots piper's queries , or, John Falkirk's caraches - L.C.2803(5)",1800,
104184357.txt,"Comical sayings of Pady from Cork, with his coat button'd behind - L.C.2803(6)",1800,
104184358.txt,"Scots piper's queries, or, John Falkirk's carriches - L.C.2803(7)",1790,
104184359.txt,"Oration on the virtues of old women, and the pride of the young - L.C.2803(8)",1800,
104184360.txt,History of Jack and the giants - L.C.2803(9),1800,
104184361.txt,History of the king and the cobler - L.C.2804(1),1800,
104184362.txt,"Comical and entertaining dialogue, between a generous tradesman and his old stingy wife - L.C.2804(10)",1800,
104184363.txt,Christ the saviour of the world - L.C.2804(11),1802,
104184364.txt,"Account of a most surprising savage girl, who was caught wild in the woods of Champagne, a province in France - L.C.2804(12)",1800,
104184365.txt,Partridge and Flamstead's new and well experienced fortune book - L.C.2804(13),1800,
104184366.txt,"Life & transactions of Mrs. Jane Shore, concubine to King Edward IV - L.C.2804(14)",1800,
104184367.txt,"History of dreams, or, Dreams interpreted, &c. - L.C.2804(15)",1800,
104184368.txt,Three crump twin brothers of Damascus - L.C.2804(16),1809,
104184369.txt,Ancient and modern history of the Russian Empire - L.C.2804(17),1813,
104184370.txt,"History of Adam Bell, Clim of the Clough, and William of Cloudeslie - L.C.2804(18)",1800,
104184371.txt,"History of the Devil, ancient and modern - L.C.2804(19)",1800,
104184372.txt,Sleeping beauty in the wood - L.C.2804(2),1800,
104184373.txt,Battle of Waterloo - L.C.2804(20),1815,
104184374.txt,Wife of Beith - L.C.2804(3),1800,
104184375.txt,Fairy tales - L.C.2804(4),1800,
104184376.txt,History of the king and the cobbler - L.C.2804(5),1800,
104184377.txt,"Satan's decoy, or, The youth's faith in Christ - L.C.2804(6)",1800,
104184378.txt,"Answer to Andrew Moffat's small poem, on singing church-music - L.C.2804(7)",1829,
104184379.txt,Henry Blyth's contract - L.C.2804(8),1800,
104184380.txt,Merry tales of the wise men of Gotham - L.C.2804(9),1800,
104184381.txt,Gosport tragedy - L.C.2805(1),1800,
104184382.txt,"Buchanshire tragedy, or, Sir James the Ross - L.C.2805(10)",1800,
104184383.txt,"Fisherman's garland, or, The cruel knight - L.C.2805(11)",1800,
104184384.txt,Penny worth of wit - L.C.2805(12),1800,
104184385.txt,"Dorsetshire garland, or, The beggar's wedding - L.C.2805(13)",1800,
104184386.txt,Three songs - L.C.2805(14),1800,
104184387.txt,Five new songs - L.C.2805(15),1800,
104184388.txt,Four new songs - L.C.2805(16),1800,
104184389.txt,Three songs - L.C.2805(17),1800,
104184390.txt,Three songs - L.C.2805(18),1800,
104184391.txt,"Poor nevoy press'd at the desire of the deceitful uncle, or, Young Grigor's ghost - L.C.2805(19)",1800,
104184392.txt,Jamie and Nancy of Yarmouth - L.C.2805(2),1800,
104184393.txt,Black-ey'd Susan's garland - L.C.2805(20),1800,
104184394.txt,Two excellent songs - L.C.2805(22),1800,
104184395.txt,"Buchanshire tragedy, or, Sir James the Ross - L.C.2805(23)",1800,
104184396.txt,Three songs - L.C.2805(24),1800,
104184397.txt,Sweet William of Plymouth - L.C.2805(25),1800,
104184398.txt,Five songs - L.C.2805(26),1800,
104184399.txt,Pretty green-coat boy's garland - L.C.2805(3),1800,
104184400.txt,Factor's garland - L.C.2805(4),1800,
104184401.txt,"Age and life of man, or, A short description of the natur [sic], rise, and fall, according to the twelve months of the year - L.C.2805(5)",1800,
104184402.txt,"Three excellent, new songs - L.C.2805(6)",1800,
104184403.txt,"Andrew Lammie, or, Mill of Tiftie's Annie - L.C.2805(7)",1800,
104184404.txt,Six songs - L.C.2805(8),1800,
104184405.txt,"Great messenger of mortality, or, A dialogue betwixt death and a lady - L.C.2805(9)",1800,
104184406.txt,Hunting of Chevy Chace - L.C.2806(1),1800,
104184407.txt,Four songs - L.C.2806(10),1800,
104184408.txt,Three excellent new sons [sic] - L.C.2806(11),1800,
104184409.txt,Four new songs - L.C.2806(12),1800,
104184410.txt,Three songs - L.C.2806(13),1800,
104184411.txt,Four songs - L.C.2806(14),1800,
104184412.txt,Blaeberries - L.C.2806(15),1800,
104184413.txt,"Afflicted parents, or, The undutiful child punished - L.C.2806(16)",1800,
104184414.txt,Six new songs - L.C.2806(17),1800,
104184415.txt,"Oxfordshire tragedy, or, The virgin's advice - L.C.2806(18)",1800,
104184416.txt,Babes in the wood - L.C.2806(19),1800,
104184417.txt,Young Beichan and Susie Pye - L.C.2806(2),1800,
104184418.txt,"Battle of the Boyn, o[r], King William crosing [sic] the Boyn Water - L.C.2806(20)",1800,
104184419.txt,"Berkshire lady, or, Batchelors of every statioh [sic] - L.C.2806(21)",1800,
104184420.txt,Penny-worth of wit - L.C.2806(22),1800,
104184421.txt,Five excellent new songs - L.C.2806(23),1800,
104184422.txt,"Fisherman's garland, or, The cruel knight - L.C.2806(24)",1800,
104184423.txt,Penny worth of wit - L.C.2806(25),1800,
104184424.txt,"Heir of Linne, an old ballad - L.C.2806(26)",1800,
104184425.txt,"Buchanshire tragedy, or, Sir James the Ross - L.C.2806(27)",1800,
104184426.txt,"Age and life of man, or, A short description of the nture [sic], rise, and fall, according to the 12 months of the year - L.C.2806(28)",1800,
104184427.txt,Factor's garland - L.C.2806(29),1800,
104184428.txt,"Old man outwitted, or, The fortunate lovers - L.C.2806(3)",1800,
104184429.txt,Factor's garland - L.C.2806(30),1800,
104184430.txt,Black-ey'd Susan's garland - L.C.2806(31),1800,
104184431.txt,Black-ey'd Susan's garland - L.C.2806(32),1800,
104184432.txt,Tragedy of Gill Morice - L.C.2806(4),1800,
104184433.txt,Young Gregor's ghost in three parts - L.C.2806(5),1800,
104184434.txt,"Handsome cobler, or, The father outwitted - L.C.2806(6)",1800,
104184435.txt,Gosport tragedy - L.C.2806(7),1800,
104184436.txt,"Weather beaten soger, or, The burgo-master of Venice - L.C.2806(8)",1800,
104184437.txt,Two excellent songs - L.C.2806(9),1800,
104184438.txt,Six excellent new songs - L.C.2807(1),1800,
104184439.txt,Three songs - L.C.2807(10),1800,
104184440.txt,Three songs - L.C.2807(11),1800,
104184441.txt,Six new songs - L.C.2807(12),1800,
104184442.txt,Four excellent songs - L.C.2807(13),1800,
104184443.txt,Two songs - L.C.2807(14),1800,
104184444.txt,Four songs - L.C.2807(15),1800,
104184445.txt,Four songs - L.C.2807(16),1814,
104184446.txt,Four songs - L.C.2807(17),1800,
104184447.txt,Battle of Boyn Water - L.C.2807(18),1800,
104184448.txt,Three songs - L.C.2807(19),1800,
104184449.txt,Three excellent songs - L.C.2807(2),1800,
104184450.txt,Three songs - L.C.2807(20),1800,
104184452.txt,Four excellent new songs - L.C.2807(21),1800,
104184453.txt,Five sonsg [sic] - L.C.2807(22),1800,
104184454.txt,Three songs - L.C.2807(23),1800,
104184455.txt,Babes in the wood - L.C.2807(24),1800,
104184456.txt,Three songs - L.C.2807(25),1800,
104184457.txt,Four excellent new songs - L.C.2807(26),1800,
104184458.txt,Five songs - L.C.2807(27),1800,
104184459.txt,Three songs - L.C.2807(28),1800,
104184460.txt,"Young Biechan, and Susie Pye - L.C.2807(29)",1800,
104184461.txt,Five new songs - L.C.2807(3),1800,
104184462.txt,Little taylor's wedding - L.C.2807(30),1800,
104184463.txt,Four excellent new songs - L.C.2807(31),1807,
104184464.txt,Three new songs - L.C.2807(32),1800,
104184465.txt,Bess the gawkie - L.C.2807(4),1800,
104184466.txt,"Wandering shepherdess, or, The betrayed damsel - L.C.2807(5)",1800,
104184467.txt,Four songs - L.C.2807(6),1800,uncertain
104184468.txt,Two songs - L.C.2807(7),1800,
104184469.txt,Three excellent songs - L.C.2807(8),1800,
104184470.txt,Four songs - L.C.2807(9),1815,
104184471.txt,Six excellent [sic] new songs - L.C.2808(1),1800,
104184472.txt,Five excellent new songs - L.C.2808(10),1800,
104184473.txt,Four excellent new songs - L.C.2808(11),1800,
104184474.txt,Five excellent new songs - L.C.2808(12),1805,
104184475.txt,Four excellent new songs - L.C.2808(13),1800,
104184476.txt,Four excellent new songs - L.C.2808(14),1805,
104184477.txt,Three excellent new songs - L.C.2808(15),1800,
104184478.txt,Five excellent new songs - L.C.2808(16),1805,
104184479.txt,Four excellent new songs - L.C.2808(17),1800,
104184480.txt,Four excellent new songs - L.C.2808(18),1800,
104184481.txt,Five excel[l]ent new songs - L.C.2808(19),1800,
104184482.txt,Four excellent new songs - L.C.2808(2),1800,
104184483.txt,Three excelkant [sic] new songs - L.C.2808(20),1805,
